,,0
0,0,0.9999999999999999
0,1,0.6370967795454439
0,2,0.5771619607549194
0,3,0.6334790076249821
0,4,0.4883255052730344
0,5,0.7247151224674224
0,6,0.7985782602665115
0,7,0.5516936082083882
0,8,0.7001279035749217
0,9,0.8747390791160847
0,10,0.8371762361437494
0,11,0.728669659702232
0,12,0.7098623430359375
0,13,0.7667452120845419
0,14,0.6425884271152656
0,15,0.5128774200860312
0,16,0.8867543135505065
0,17,0.8001648975885481
0,18,0.7813111706189356
0,19,0.6268778207599838
0,20,0.6897382484956769
0,21,0.638505671594886
0,22,0.5039823415180098
0,23,0.6393706395144618
0,24,0.44294891082459753
0,25,0.8064800104454781
0,26,0.7057772547148438
0,27,0.6239177979384425
0,28,0.5876985067014736
0,29,0.8644863350201402
0,30,0.7343398672412809
0,31,0.7588175740153114
0,32,0.4905293554364799
0,33,0.8452133451797431
0,34,0.886739265769618
0,35,0.8127185277607822
0,36,0.6129897150424434
0,37,0.5374811660881162
0,38,0.7082177989816625
0,39,0.8695980754614981
0,40,0.7169841891594124
0,41,0.48492409427468236
0,42,0.7148847908248197
0,43,0.7517540236955879
0,44,0.8405174087909718
0,45,0.7337680116426435
0,46,0.8716417081497327
0,47,0.4479049459043963
0,48,0.6363509425493556
0,49,0.657956892713415
1,0,0.6370967795454439
1,1,0.9999999999999997
1,2,0.4766732217961086
1,3,0.9452890838090804
1,4,0.9464699082548957
1,5,0.5717232695177089
1,6,0.6350688349201491
1,7,0.4961616636627566
1,8,0.561220812884455
1,9,0.7569904783255386
1,10,0.6619064727664056
1,11,0.6652973200570952
1,12,0.6705300430864618
1,13,0.6871212671979859
1,14,0.6494577943303407
1,15,0.9431011601306084
1,16,0.7217880902989519
1,17,0.7127930088118328
1,18,0.6029227468756622
1,19,0.6472438875910353
1,20,0.7096451050873529
1,21,0.7434931398124416
1,22,0.9560501898923557
1,23,0.5877891900882662
1,24,0.4386672255322272
1,25,0.7513091842631028
1,26,0.6929310732730586
1,27,0.6915264692114709
1,28,0.5509310870859214
1,29,0.6857810642609945
1,30,0.6886034090523356
1,31,0.7130746334660122
1,32,0.4564277255292661
1,33,0.7195717259388033
1,34,0.6695616828676627
1,35,0.7551460331091285
1,36,0.9740379834574965
1,37,0.4488923050055113
1,38,0.6041594343486977
1,39,0.5999123692678701
1,40,0.6424548613955077
1,41,0.935453698237898
1,42,0.6723284719589004
